Name,Latitude,Longitude,State,Country,Operational Status
Fort Campbell TN,36.596494345,-87.599046902,Tennessee,United States,Active
Arlington National Cemetery,38.8778215838,-77.0690379263,Virginia,United States,Active
Fort McCoy,44.0335308735,-90.6765636531,Wisconsin,United States,Active
Fort Lesley J McNair,38.8671698257,-77.016494005,District of Columbia,United States,Active
Helemano Military Reservation,21.5359637869,-158.019432628,Hawaii,United States,Active
USA Field Station Kunia,21.4768147455,-158.052424245,Hawaii,United States,Active
Twentynine Palms,34.461945779,-116.210925972,California,United States,Active
MCB Quantico,38.5520544383,-77.4571616476,Virginia,United States,Active
St Juliens Creek East,36.7879489259,-76.3101638082,Virginia,United States,Active
Elizabeth Rvr Channel,36.8663757991,-76.3318847593,Virginia,United States,Active
Naval Support Activity Wash,38.8740586335,-76.9950963249,District of Columbia,United States,Active
Naval Support Activity Panama City,30.1726207717,-85.7522787123,Florida,United States,Active
Nellis Annex,36.2384449698,-115.135834801,Nevada,United States,Active
JB Andrews,38.8051681105,-76.8744692983,Maryland,United States,Active
Schriever AFB,38.8058114757,-104.519907537,Colorado,United States,Active
Charleston Defense Fuel Support Point,32.9127968927,-79.983267572,South Carolina,United States,Active
Joint Base Charleston Short Stay,33.2559459604,-79.9889000764,South Carolina,United States,Active
Maxwell AFB Gunter Annex,32.4070003775,-86.2462388765,Alabama,United States,Active
Alpena County Regional Airport,45.0843936284,-83.5700561745,Michigan,United States,Active
Forbes Field ANG,38.9609025845,-95.681207501,Kansas,United States,Active
Kingsley Field Cantonement Site 1,42.1604107875,-121.744216355,Oregon,United States,Active
Nashville IAP,36.1109974019,-86.6749742271,Tennessee,United States,Active
NG Fort Worth - Shoreview,32.778187703,-97.458544842,Texas,United States,Active
NG Muscatatuck Urban Training Center,39.0513458097,-85.5247386919,Indiana,United States,Active
NG MTA Ft Wm Henry Harrison,46.626145715,-112.146444058,Montana,United States,Active
NG Ayer,42.5489411722,-71.584497782,Massachusetts,United States,Active
NG Macon TS,39.6732925118,-92.5020276292,Missouri,United States,Active
NG Johnson City Gray,36.4213309591,-82.4887633022,Tennessee,United States,Active
NG Muskogee AFRC,35.6603704603,-95.3735309528,Oklahoma,United States,Active
NG Fort Pickett ARNG MTC,37.0367527263,-77.9093172808,Virginia,United States,Active
NOLF Choctaw,30.5064032466,-86.9567087641,Florida,United States,Active
NOLF Evergreen,31.4156644398,-87.0439393588,Alabama,United States,Active
NAWS China Lake,35.9342694303,-117.643911309,California,United States,Active
Fort Hood,31.2156853581,-97.7370319242,Texas,United States,Active
Air Force Plant 6,33.922334237,-84.5270544482,Georgia,United States,Active
Subase Kings Bay GA,30.7934587256,-81.5333259382,Georgia,United States,Active
NAS Fallon NV,39.4222968339,-118.704557143,Nevada,United States,Active
Military Ocean Terminal Concord,38.0513971399,-122.018795364,California,United States,Active
Fort Campbell KY,36.6697817061,-87.6718272017,Kentucky,United States,Active
Rock Island Arsenal,41.5170748739,-90.5411561301,Illinois,United States,Active
Jacksonville FL Maint,30.405301276,-81.6216735389,Florida,United States,Active
Puuloa-Oahu,21.3182154989,-157.988054568,Hawaii,United States,Active
Fort Adams RI,41.4753432866,-71.3399358753,Rhode Island,United States,Active
NAVSTA Mayport FL,30.3815861854,-81.4248272955,Florida,United States,Active
NAS Corpus Christi TX,27.6924886772,-97.2793198862,Texas,United States,Active
Hurlburt Field,30.4291906458,-86.6987100281,Florida,United States,Active
Minn-St Paul,44.892490313,-93.2071583527,Minnesota,United States,Active
Vandenberg Main Base,34.7135727132,-120.55814563,California,United States,Active
Will Rogers World Airport,35.4076597475,-97.611671339,Oklahoma,United States,Active
NG MTCH Camp Guernsey,42.3382282871,-104.809449137,Wyoming,United States,Active
NG Fort Chaffee MTC,35.2565207847,-94.1634392414,Arkansas,United States,Active
NG MTA Camp Shelby,31.0902463593,-89.0068676906,Mississippi,United States,Active
NG Picacho Aviation TS,32.6629164638,-111.488032827,Arizona,United States,Active
NG MTA Camp Edwards,41.7003516585,-70.5448394116,Massachusetts,United States,Active
NG MTA Camp Fretterd,39.4979931517,-76.8456986902,Maryland,United States,Active
NALF Goliad,28.6111807311,-97.6121549462,Texas,United States,Active
Naval Hospital,24.5688912079,-81.7508073951,Florida,United States,Active
Gambrills,39.0567083217,-76.6762764474,Maryland,United States,Active
NAVACAD North Severn,38.9898516944,-76.4624264305,Maryland,United States,Active
Navy Annex,36.5916541246,-121.860796344,California,United States,Active
Potts Tank Farm,13.5867244468,144.862277501,Guam,Guam,Active
Stump Neck Area,38.5491137312,-77.2131682728,Maryland,United States,Active
